datetime,temperature
1948/1/1,7
1948/2/1,-15
1948/3/1,-25
1948/4/1,-11
1948/5/1,1
1948/6/1,-4
1948/7/1,-11
1948/8/1,-12
1948/9/1,-11
1948/10/1,-7
1948/11/1,-12
1948/12/1,-23
1949/1/1,9
1949/2/1,-16
1949/3/1,-2
1949/4/1,-10
1949/5/1,-8
1949/6/1,-23
1949/7/1,-14
1949/8/1,-12
1949/9/1,-14
1949/10/1,-6
1949/11/1,-10
1949/12/1,-22
1950/1/1,-33
1950/2/1,-28
1950/3/1,-7
1950/4/1,-20
1950/5/1,-9
1950/6/1,-3
1950/7/1,-10
1950/8/1,-16
1950/9/1,-12
1950/10/1,-22
1950/11/1,-38
1950/12/1,-20
1951/1/1,-35
1951/2/1,-43
1951/3/1,-21
1951/4/1,-13
1951/5/1,0
1951/6/1,-2
1951/7/1,3
1951/8/1,6
1951/9/1,8
1951/10/1,5
1951/11/1,-2
1951/12/1,14
1952/1/1,13
1952/2/1,11
1952/3/1,-10
1952/4/1,2
1952/5/1,-2
1952/6/1,-4
1952/7/1,4
1952/8/1,4
1952/9/1,7
1952/10/1,-1
1952/11/1,-14
1952/12/1,-1
1953/1/1,8
1953/2/1,14
1953/3/1,11
1953/4/1,18
1953/5/1,9
1953/6/1,10
1953/7/1,0
1953/8/1,6
1953/9/1,4
1953/10/1,6
1953/11/1,-6
1953/12/1,2
1954/1/1,-28
1954/2/1,-13
1954/3/1,-15
1954/4/1,-17
1954/5/1,-21
1954/6/1,-17
1954/7/1,-19
1954/8/1,-17
1954/9/1,-10
1954/10/1,-4
1954/11/1,6
1954/12/1,-22
1955/1/1,14
1955/2/1,-17
1955/3/1,-34
1955/4/1,-21
1955/5/1,-21
1955/6/1,-12
1955/7/1,-12
1955/8/1,1
1955/9/1,-11
1955/10/1,-5
1955/11/1,-24
1955/12/1,-30
1956/1/1,-16
1956/2/1,-26
1956/3/1,-23
1956/4/1,-27
1956/5/1,-31
1956/6/1,-16
1956/7/1,-12
1956/8/1,-26
1956/9/1,-20
1956/10/1,-24
1956/11/1,-17
1956/12/1,-8
1957/1/1,-11
1957/2/1,-4
1957/3/1,-6
1957/4/1,-1
1957/5/1,9
1957/6/1,16
1957/7/1,1
1957/8/1,15
1957/9/1,9
1957/10/1,1
1957/11/1,6
1957/12/1,16
1958/1/1,39
1958/2/1,24
1958/3/1,11
1958/4/1,3
1958/5/1,7
1958/6/1,-7
1958/7/1,5
1958/8/1,-3
1958/9/1,-2
1958/10/1,4
1958/11/1,2
1958/12/1,0
1959/1/1,8
1959/2/1,9
1959/3/1,18
1959/4/1,13
1959/5/1,4
1959/6/1,2
1959/7/1,6
1959/8/1,-1
1959/9/1,-6
1959/10/1,-9
1959/11/1,-9
1959/12/1,-1
1960/1/1,-1
1960/2/1,16
1960/3/1,-34
1960/4/1,-14
1960/5/1,-7
1960/6/1,-4
1960/7/1,-3
1960/8/1,1
1960/9/1,7
1960/10/1,7
1960/11/1,-12
1960/12/1,18
1961/1/1,7
1961/2/1,19
1961/3/1,9
1961/4/1,12
1961/5/1,11
1961/6/1,11
1961/7/1,0
1961/8/1,3
1961/9/1,7
1961/10/1,0
1961/11/1,3
1961/12/1,-15
1962/1/1,7
1962/2/1,14
1962/3/1,12
1962/4/1,4
1962/5/1,-4
1962/6/1,4
1962/7/1,2
1962/8/1,-1
1962/9/1,1
1962/10/1,0
1962/11/1,7
1962/12/1,0
1963/1/1,-2
1963/2/1,20
1963/3/1,-14
1963/4/1,-6
1963/5/1,-4
1963/6/1,5
1963/7/1,8
1963/8/1,27
1963/9/1,20
1963/10/1,15
1963/11/1,15
1963/12/1,-1
1964/1/1,-8
1964/2/1,-13
1964/3/1,-23
1964/4/1,-31
1964/5/1,-25
1964/6/1,-2
1964/7/1,-3
1964/8/1,-21
1964/9/1,-29
1964/10/1,-31
1964/11/1,-21
1964/12/1,-30
1965/1/1,-8
1965/2/1,-17
1965/3/1,-11
1965/4/1,-19
1965/5/1,-14
1965/6/1,-9
1965/7/1,-12
1965/8/1,-3
1965/9/1,-16
1965/10/1,-5
1965/11/1,-7
1965/12/1,-6
1966/1/1,-17
1966/2/1,-1
1966/3/1,5
1966/4/1,-12
1966/5/1,-11
1966/6/1,1
1966/7/1,9
1966/8/1,-8
1966/9/1,-2
1966/10/1,-15
1966/11/1,-2
1966/12/1,-6
1967/1/1,-6
1967/2/1,-21
1967/3/1,4
1967/4/1,-5
1967/5/1,14
1967/6/1,-8
1967/7/1,1
1967/8/1,1
1967/9/1,-6
1967/10/1,8
1967/11/1,-7
1967/12/1,-3
1968/1/1,-25
1968/2/1,-15
1968/3/1,20
1968/4/1,-6
